,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
1273,5,admin.,married,secondary,no,0,yes,no,unknown,8,may,9,2,-1,0,unknown
1340,6,admin.,divorced,secondary,no,0,yes,yes,unknown,8,may,4,1,-1,0,unknown
1370,2,admin.,divorced,secondary,no,0,yes,no,unknown,8,may,3,2,-1,0,unknown
1372,5,management,single,tertiary,no,0,yes,no,unknown,8,may,6,1,-1,0,unknown
1416,5,management,divorced,tertiary,no,0,yes,no,unknown,8,may,17,2,-1,0,unknown
1462,5,blue-collar,married,primary,no,-1,yes,no,unknown,8,may,9,2,-1,0,unknown
1520,4,unemployed,single,secondary,no,0,yes,no,unknown,8,may,8,2,-1,0,unknown
1646,4,blue-collar,single,secondary,no,0,yes,no,unknown,9,may,5,4,-1,0,unknown
1647,3,technician,single,tertiary,no,0,yes,no,unknown,9,may,4,3,-1,0,unknown
1671,6,technician,married,secondary,no,0,yes,no,unknown,9,may,6,1,-1,0,unknown
1674,5,blue-collar,single,secondary,no,0,yes,no,unknown,9,may,7,3,-1,0,unknown
1688,3,admin.,married,secondary,no,0,yes,no,unknown,9,may,4,1,-1,0,unknown
1691,2,blue-collar,single,secondary,no,0,yes,no,unknown,9,may,5,1,-1,0,unknown
1767,3,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,5,1,-1,0,unknown
1795,9,technician,married,primary,no,0,yes,no,unknown,9,may,8,2,-1,0,unknown
1806,2,blue-collar,single,secondary,no,0,yes,no,unknown,9,may,5,1,-1,0,unknown
1832,5,blue-collar,married,secondary,no,0,yes,no,unknown,9,may,14,2,-1,0,unknown
1850,2,blue-collar,single,secondary,no,-1,yes,no,unknown,9,may,16,2,-1,0,unknown
1863,3,blue-collar,divorced,primary,no,0,yes,no,unknown,9,may,5,2,-1,0,unknown
2053,6,blue-collar,married,primary,no,0,yes,no,unknown,12,may,3,5,-1,0,unknown
2096,3,management,single,tertiary,no,0,no,no,unknown,12,may,6,2,-1,0,unknown
2328,4,blue-collar,married,primary,no,0,no,no,unknown,13,may,4,4,-1,0,unknown
2347,3,management,divorced,secondary,no,0,yes,no,unknown,13,may,11,1,-1,0,unknown
2377,4,management,married,tertiary,no,0,yes,no,unknown,13,may,4,4,-1,0,unknown
2387,1,services,single,secondary,yes,-1,yes,no,unknown,13,may,8,1,-1,0,unknown
2388,7,retired,divorced,tertiary,no,0,no,no,unknown,13,may,5,1,-1,0,unknown
2404,3,blue-collar,divorced,secondary,no,0,yes,no,unknown,13,may,18,1,-1,0,unknown
2474,1,entrepreneur,single,primary,no,0,yes,no,unknown,13,may,3,2,-1,0,unknown
2483,9,blue-collar,married,primary,no,0,yes,yes,unknown,13,may,8,1,-1,0,unknown
2485,6,management,married,tertiary,no,0,yes,no,unknown,13,may,5,2,-1,0,unknown
2486,6,entrepreneur,divorced,tertiary,no,-1,yes,no,unknown,13,may,3,1,-1,0,unknown
2507,4,blue-collar,married,secondary,no,0,yes,no,unknown,13,may,8,4,-1,0,unknown
2519,7,management,married,unknown,no,0,yes,no,unknown,13,may,7,1,-1,0,unknown
2545,4,entrepreneur,divorced,secondary,no,0,yes,yes,unknown,13,may,6,6,-1,0,unknown
2650,6,blue-collar,married,primary,no,0,yes,no,unknown,13,may,7,2,-1,0,unknown
2709,4,blue-collar,divorced,primary,no,0,yes,no,unknown,13,may,7,2,-1,0,unknown
2720,5,technician,married,secondary,no,0,yes,no,unknown,13,may,14,2,-1,0,unknown
2767,7,housemaid,married,secondary,no,0,yes,no,unknown,14,may,7,3,-1,0,unknown
2779,7,technician,divorced,primary,no,0,yes,no,unknown,14,may,3,1,-1,0,unknown
2799,6,blue-collar,divorced,primary,no,0,yes,no,unknown,14,may,6,1,-1,0,unknown
2821,5,blue-collar,single,primary,no,0,yes,no,unknown,14,may,12,1,-1,0,unknown
2831,4,management,divorced,tertiary,no,0,yes,yes,unknown,14,may,11,1,-1,0,unknown
2845,8,retired,married,secondary,no,0,yes,yes,unknown,14,may,9,2,-1,0,unknown
2865,5,blue-collar,married,secondary,no,0,yes,no,unknown,14,may,7,1,-1,0,unknown
2870,6,blue-collar,married,secondary,no,0,yes,no,unknown,14,may,5,2,-1,0,unknown
2882,5,admin.,married,secondary,no,0,yes,no,unknown,14,may,5,1,-1,0,unknown
2897,6,blue-collar,married,secondary,no,0,yes,no,unknown,14,may,6,1,-1,0,unknown
2929,9,retired,married,primary,no,0,yes,no,unknown,14,may,7,1,-1,0,unknown
2955,5,technician,single,unknown,no,0,yes,no,unknown,14,may,8,2,-1,0,unknown
2982,8,technician,married,tertiary,no,-1,no,no,unknown,14,may,7,2,-1,0,unknown
3004,7,blue-collar,married,secondary,no,1,yes,no,unknown,14,may,7,1,-1,0,unknown
3145,5,blue-collar,divorced,secondary,no,1,yes,no,unknown,14,may,11,3,-1,0,unknown
3190,5,blue-collar,married,secondary,no,0,yes,no,unknown,15,may,9,4,-1,0,unknown
3193,6,admin.,married,secondary,no,0,yes,yes,unknown,15,may,5,3,-1,0,unknown
3214,7,blue-collar,divorced,primary,no,-1,yes,no,unknown,15,may,6,1,-1,0,unknown
3225,5,self-employed,single,unknown,no,0,no,no,unknown,15,may,6,1,-1,0,unknown
3294,8,blue-collar,married,primary,no,0,yes,no,unknown,15,may,5,1,-1,0,unknown
3300,5,blue-collar,married,unknown,no,0,yes,no,unknown,15,may,4,1,-1,0,unknown
3314,6,admin.,single,secondary,no,0,yes,no,unknown,15,may,10,3,-1,0,unknown
3324,6,unknown,married,primary,no,0,yes,yes,unknown,15,may,4,2,-1,0,unknown
3331,7,entrepreneur,married,primary,no,0,yes,no,unknown,15,may,5,32,-1,0,unknown
3371,5,services,married,primary,no,-1,yes,no,unknown,15,may,7,2,-1,0,unknown
3378,5,admin.,married,primary,no,-1,yes,no,unknown,15,may,4,1,-1,0,unknown
3454,5,technician,married,tertiary,no,0,yes,no,unknown,15,may,7,2,-1,0,unknown
3497,9,services,single,primary,no,0,yes,no,unknown,15,may,7,2,-1,0,unknown
3500,2,management,married,tertiary,no,2,no,no,unknown,15,may,10,2,-1,0,unknown
3509,5,retired,divorced,primary,no,-1,yes,no,unknown,15,may,9,2,-1,0,unknown
3519,5,blue-collar,married,primary,no,0,yes,no,unknown,15,may,8,1,-1,0,unknown
3548,5,technician,single,secondary,no,0,yes,no,unknown,15,may,15,6,-1,0,unknown
3557,6,blue-collar,married,secondary,no,0,yes,no,unknown,15,may,10,2,-1,0,unknown
3571,3,services,single,secondary,no,0,yes,no,unknown,15,may,5,3,-1,0,unknown
3677,4,services,single,unknown,no,0,yes,no,unknown,16,may,4,1,-1,0,unknown
3681,4,technician,married,tertiary,no,0,yes,yes,unknown,16,may,6,1,-1,0,unknown
3701,3,management,married,tertiary,no,0,yes,no,unknown,16,may,6,1,-1,0,unknown
3702,5,admin.,divorced,secondary,no,0,yes,no,unknown,16,may,7,1,-1,0,unknown
3708,3,self-employed,single,tertiary,no,0,yes,no,unknown,16,may,5,1,-1,0,unknown
3712,5,services,married,secondary,no,0,yes,no,unknown,16,may,10,1,-1,0,unknown
3714,2,blue-collar,married,secondary,no,0,yes,no,unknown,16,may,9,3,-1,0,unknown
3730,6,blue-collar,married,primary,no,0,yes,no,unknown,16,may,4,1,-1,0,unknown
3749,3,blue-collar,married,secondary,no,0,yes,no,unknown,16,may,5,1,-1,0,unknown
3770,2,admin.,single,secondary,no,0,yes,yes,unknown,16,may,6,1,-1,0,unknown
3804,2,technician,single,secondary,no,0,yes,no,unknown,16,may,6,1,-1,0,unknown
3819,4,services,divorced,secondary,no,0,yes,no,unknown,16,may,5,2,-1,0,unknown
3829,5,blue-collar,married,primary,no,0,yes,no,unknown,16,may,10,3,-1,0,unknown
3830,3,blue-collar,single,secondary,no,-1,yes,no,unknown,16,may,6,2,-1,0,unknown
3835,1,technician,single,secondary,no,0,yes,no,unknown,16,may,7,1,-1,0,unknown
3840,1,blue-collar,married,primary,no,0,yes,no,unknown,16,may,7,1,-1,0,unknown
3876,7,admin.,divorced,secondary,no,0,yes,no,unknown,16,may,11,1,-1,0,unknown
3881,2,technician,single,tertiary,no,0,yes,no,unknown,16,may,7,1,-1,0,unknown
3982,7,management,single,tertiary,no,0,yes,no,unknown,16,may,10,3,-1,0,unknown
3999,3,technician,single,secondary,no,0,yes,no,unknown,16,may,9,5,-1,0,unknown
4035,3,blue-collar,married,primary,no,0,yes,yes,unknown,16,may,8,4,-1,0,unknown
4042,4,management,single,secondary,no,0,yes,no,unknown,16,may,9,4,-1,0,unknown
4090,5,admin.,single,secondary,no,0,yes,no,unknown,19,may,7,1,-1,0,unknown
4136,6,blue-collar,married,secondary,no,0,yes,no,unknown,19,may,7,2,-1,0,unknown
4185,3,admin.,married,secondary,no,0,yes,no,unknown,19,may,5,1,-1,0,unknown
4200,3,blue-collar,married,secondary,no,0,yes,no,unknown,19,may,8,4,-1,0,unknown
4271,5,services,divorced,secondary,no,0,yes,no,unknown,19,may,4,3,-1,0,unknown
4313,4,management,divorced,tertiary,no,0,yes,no,unknown,19,may,13,2,-1,0,unknown
4326,3,technician,single,tertiary,no,0,yes,yes,unknown,19,may,8,6,-1,0,unknown
4329,5,technician,married,secondary,no,0,yes,no,unknown,19,may,4,5,-1,0,unknown
4377,3,technician,single,tertiary,no,0,yes,no,unknown,19,may,10,3,-1,0,unknown
4402,4,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,3,1,-1,0,unknown
4416,4,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,10,1,-1,0,unknown
4427,2,services,single,secondary,no,0,yes,no,unknown,20,may,15,2,-1,0,unknown
4431,4,blue-collar,married,primary,no,0,yes,no,unknown,20,may,11,1,-1,0,unknown
4455,3,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,1,2,-1,0,unknown
4509,4,services,married,secondary,no,0,yes,no,unknown,20,may,14,1,-1,0,unknown
4607,3,technician,single,secondary,no,0,yes,no,unknown,20,may,9,4,-1,0,unknown
4634,3,admin.,single,secondary,no,0,yes,yes,unknown,20,may,8,1,-1,0,unknown
4640,5,technician,divorced,secondary,no,0,yes,no,unknown,20,may,5,3,-1,0,unknown
4675,4,blue-collar,married,primary,no,0,yes,yes,unknown,20,may,8,2,-1,0,unknown
4682,4,technician,single,secondary,no,0,yes,no,unknown,20,may,11,2,-1,0,unknown
4719,4,blue-collar,married,unknown,no,0,yes,no,unknown,20,may,7,2,-1,0,unknown
4753,5,blue-collar,married,primary,no,0,yes,no,unknown,20,may,11,2,-1,0,unknown
4765,3,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,5,1,-1,0,unknown
4813,3,blue-collar,single,primary,no,0,yes,no,unknown,21,may,4,1,-1,0,unknown
4818,3,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,7,1,-1,0,unknown
4835,3,technician,married,secondary,no,0,yes,no,unknown,21,may,6,2,-1,0,unknown
4866,4,management,married,tertiary,no,0,yes,yes,unknown,21,may,7,2,-1,0,unknown
4897,3,blue-collar,single,secondary,yes,0,yes,no,unknown,21,may,3,1,-1,0,unknown
4916,4,technician,single,secondary,no,0,yes,no,unknown,21,may,6,1,-1,0,unknown
4941,7,management,divorced,tertiary,no,0,yes,no,unknown,21,may,6,4,-1,0,unknown
4948,4,blue-collar,married,primary,no,0,yes,no,unknown,21,may,5,2,-1,0,unknown
5003,3,management,single,tertiary,no,0,yes,no,unknown,21,may,4,2,-1,0,unknown
5024,2,technician,married,secondary,no,0,yes,yes,unknown,21,may,7,1,-1,0,unknown
5034,3,retired,married,primary,no,0,no,no,unknown,21,may,14,1,-1,0,unknown
5052,3,services,single,secondary,no,-1,yes,no,unknown,21,may,5,3,-1,0,unknown
5055,3,technician,single,tertiary,no,0,yes,no,unknown,21,may,14,2,-1,0,unknown
5057,3,technician,single,tertiary,no,0,yes,no,unknown,21,may,7,2,-1,0,unknown
5144,4,technician,single,secondary,no,0,yes,no,unknown,21,may,6,1,-1,0,unknown
5162,4,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,5,2,-1,0,unknown
5174,3,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,7,3,-1,0,unknown
5194,3,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,4,3,-1,0,unknown
5236,4,blue-collar,married,primary,no,0,yes,no,unknown,23,may,11,8,-1,0,unknown
5251,4,self-employed,divorced,tertiary,no,0,yes,no,unknown,23,may,6,2,-1,0,unknown
5276,3,blue-collar,single,secondary,no,0,yes,no,unknown,23,may,6,1,-1,0,unknown
5283,3,blue-collar,married,secondary,no,0,yes,yes,unknown,23,may,8,1,-1,0,unknown
5342,3,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,7,1,-1,0,unknown
5470,6,blue-collar,divorced,primary,no,-1,yes,no,unknown,23,may,8,1,-1,0,unknown
5483,6,admin.,married,secondary,no,0,yes,no,unknown,23,may,7,3,-1,0,unknown
5499,3,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,4,3,-1,0,unknown
5515,3,blue-collar,divorced,secondary,no,0,yes,no,unknown,23,may,6,2,-1,0,unknown
5542,5,management,divorced,tertiary,no,1,no,no,unknown,23,may,4,6,-1,0,unknown
5546,5,blue-collar,married,primary,no,0,yes,no,unknown,23,may,8,3,-1,0,unknown
5575,3,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,11,2,-1,0,unknown
5669,3,technician,married,tertiary,no,0,yes,no,unknown,26,may,3,2,-1,0,unknown
5705,5,technician,divorced,secondary,no,0,yes,no,unknown,26,may,6,11,-1,0,unknown
5741,3,services,married,secondary,no,-1,yes,no,unknown,26,may,5,1,-1,0,unknown
5768,3,admin.,single,secondary,no,0,yes,no,unknown,26,may,4,2,-1,0,unknown
5783,6,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,6,4,-1,0,unknown
5803,4,blue-collar,married,secondary,no,0,no,no,unknown,26,may,5,2,-1,0,unknown
5846,2,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,13,2,-1,0,unknown
5856,3,admin.,single,secondary,no,0,yes,no,unknown,26,may,10,3,-1,0,unknown
5866,4,blue-collar,divorced,secondary,no,0,yes,no,unknown,26,may,5,2,-1,0,unknown
5888,3,management,married,tertiary,no,0,yes,no,unknown,26,may,7,4,-1,0,unknown
5932,4,admin.,divorced,secondary,no,0,yes,no,unknown,26,may,3,2,-1,0,unknown
5938,2,admin.,single,secondary,no,0,yes,no,unknown,26,may,6,6,-1,0,unknown
5959,3,management,divorced,tertiary,no,0,yes,no,unknown,26,may,10,4,-1,0,unknown
5973,3,services,married,secondary,no,0,yes,no,unknown,26,may,12,7,-1,0,unknown
5976,3,admin.,married,secondary,no,0,yes,yes,unknown,26,may,3,2,-1,0,unknown
6005,8,services,married,secondary,no,-1,yes,no,unknown,26,may,6,3,-1,0,unknown
6006,1,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,7,3,-1,0,unknown
6021,2,services,single,secondary,no,0,yes,no,unknown,26,may,6,2,-1,0,unknown
6112,8,retired,single,secondary,no,0,yes,no,unknown,27,may,8,5,-1,0,unknown
6141,7,technician,married,secondary,no,-1,yes,no,unknown,27,may,10,1,-1,0,unknown
6162,3,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,8,1,-1,0,unknown
6184,2,management,single,tertiary,no,0,yes,no,unknown,27,may,6,1,-1,0,unknown
6270,4,admin.,married,secondary,no,0,yes,no,unknown,27,may,6,3,-1,0,unknown
6312,1,self-employed,single,tertiary,no,0,yes,no,unknown,27,may,7,1,-1,0,unknown
6337,3,admin.,single,secondary,no,-1,yes,yes,unknown,27,may,6,1,-1,0,unknown
6391,2,blue-collar,married,secondary,no,0,yes,no,unknown,27,may,5,1,-1,0,unknown
6451,5,services,divorced,secondary,no,0,yes,yes,unknown,27,may,25,2,-1,0,unknown
6598,2,management,married,tertiary,no,0,no,no,unknown,28,may,7,2,-1,0,unknown
6626,2,management,single,tertiary,no,1,yes,no,unknown,28,may,13,2,-1,0,unknown
6631,2,technician,single,secondary,no,0,yes,no,unknown,28,may,4,3,-1,0,unknown
6683,2,services,single,secondary,no,0,yes,no,unknown,28,may,4,2,-1,0,unknown
6751,2,self-employed,single,secondary,no,0,yes,no,unknown,28,may,5,2,-1,0,unknown
6773,2,management,married,secondary,no,0,yes,no,unknown,28,may,4,1,-1,0,unknown
6774,1,services,single,secondary,no,0,yes,no,unknown,28,may,9,1,-1,0,unknown
6800,2,blue-collar,single,secondary,no,0,yes,yes,unknown,28,may,5,2,-1,0,unknown
6821,1,technician,single,tertiary,no,0,yes,no,unknown,28,may,6,1,-1,0,unknown
6823,6,technician,married,secondary,no,0,no,no,unknown,28,may,6,1,-1,0,unknown
6838,1,student,single,unknown,no,0,yes,no,unknown,28,may,5,2,-1,0,unknown
6854,8,retired,married,tertiary,no,0,yes,yes,unknown,28,may,5,1,-1,0,unknown
6874,3,management,single,tertiary,no,0,yes,no,unknown,28,may,7,2,-1,0,unknown
6918,2,student,single,secondary,no,0,yes,no,unknown,28,may,14,1,-1,0,unknown
7048,7,entrepreneur,married,unknown,no,0,yes,no,unknown,28,may,4,9,-1,0,unknown
7090,4,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,4,1,-1,0,unknown
7123,4,admin.,married,secondary,no,0,yes,no,unknown,29,may,4,1,-1,0,unknown
7145,2,blue-collar,single,secondary,no,0,yes,no,unknown,29,may,6,1,-1,0,unknown
7164,8,blue-collar,married,secondary,no,0,yes,no,unknown,29,may,6,2,-1,0,unknown
7191,6,unemployed,divorced,secondary,no,0,yes,no,unknown,29,may,6,1,-1,0,unknown
7242,9,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,10,1,-1,0,unknown
7281,8,technician,married,secondary,no,0,yes,no,unknown,29,may,4,2,-1,0,unknown
7324,3,blue-collar,single,primary,no,0,yes,no,unknown,29,may,8,2,-1,0,unknown
7334,2,management,single,tertiary,no,2,yes,no,unknown,29,may,6,3,-1,0,unknown
7348,3,admin.,married,secondary,no,0,yes,no,unknown,29,may,6,3,-1,0,unknown
7379,6,blue-collar,divorced,primary,no,0,yes,no,unknown,29,may,6,2,-1,0,unknown
7457,2,blue-collar,single,secondary,no,-1,yes,no,unknown,29,may,6,2,-1,0,unknown
7460,4,management,divorced,tertiary,no,0,yes,no,unknown,29,may,11,2,-1,0,unknown
7464,3,blue-collar,married,primary,no,0,yes,no,unknown,29,may,6,3,-1,0,unknown
7480,3,blue-collar,married,secondary,no,0,yes,no,unknown,29,may,9,3,-1,0,unknown
7481,5,blue-collar,single,primary,no,0,yes,no,unknown,29,may,6,3,-1,0,unknown
7543,4,management,single,tertiary,no,1,yes,no,unknown,30,may,7,1,-1,0,unknown
7555,5,technician,single,secondary,no,1,yes,no,unknown,30,may,4,3,-1,0,unknown
7590,4,technician,married,secondary,no,0,yes,no,unknown,30,may,6,3,-1,0,unknown
7611,4,blue-collar,single,secondary,no,0,yes,yes,unknown,30,may,9,2,-1,0,unknown
7632,4,management,divorced,secondary,no,0,yes,no,unknown,30,may,5,1,-1,0,unknown
7635,4,management,single,tertiary,no,0,yes,no,unknown,30,may,6,1,-1,0,unknown
7637,6,technician,married,secondary,yes,0,no,no,unknown,30,may,5,1,-1,0,unknown
7659,4,admin.,divorced,secondary,no,0,yes,no,unknown,30,may,5,2,-1,0,unknown
7666,5,services,married,primary,no,0,yes,no,unknown,30,may,7,2,-1,0,unknown
7668,5,unemployed,divorced,secondary,no,0,yes,no,unknown,30,may,7,2,-1,0,unknown
7674,6,management,divorced,tertiary,no,2,yes,no,unknown,30,may,10,1,-1,0,unknown
7728,4,technician,divorced,secondary,no,1,yes,no,unknown,30,may,5,10,-1,0,unknown
7732,3,technician,divorced,secondary,no,0,yes,no,unknown,30,may,9,15,-1,0,unknown
7739,2,self-employed,single,tertiary,no,0,yes,no,unknown,30,may,12,2,-1,0,unknown
7744,3,services,married,secondary,no,-1,yes,no,unknown,30,may,10,2,-1,0,unknown
7763,7,unemployed,married,secondary,no,0,yes,no,unknown,30,may,7,3,-1,0,unknown
7767,4,blue-collar,married,secondary,no,0,yes,yes,unknown,30,may,11,3,-1,0,unknown
7795,4,technician,single,secondary,no,0,yes,no,unknown,30,may,6,3,-1,0,unknown
7811,7,blue-collar,divorced,primary,no,0,yes,no,unknown,30,may,16,2,-1,0,unknown
7821,3,technician,single,secondary,no,0,yes,no,unknown,30,may,6,3,-1,0,unknown
7851,6,management,single,tertiary,no,0,yes,no,unknown,30,may,8,2,-1,0,unknown
7866,2,management,single,tertiary,no,0,yes,no,unknown,30,may,1,2,-1,0,unknown
7914,6,technician,single,secondary,no,0,yes,no,unknown,30,may,7,4,-1,0,unknown
7916,3,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,6,12,-1,0,unknown
7922,2,management,single,tertiary,no,0,yes,no,unknown,30,may,4,12,-1,0,unknown
7926,7,entrepreneur,single,secondary,no,0,yes,no,unknown,30,may,8,5,-1,0,unknown
7953,2,blue-collar,married,primary,no,0,yes,no,unknown,30,may,9,2,-1,0,unknown
8014,4,management,married,tertiary,no,0,yes,no,unknown,2,jun,4,2,-1,0,unknown
8017,4,services,married,secondary,no,0,yes,no,unknown,2,jun,3,1,-1,0,unknown
8021,5,blue-collar,married,primary,no,0,yes,yes,unknown,2,jun,5,2,-1,0,unknown
8034,4,services,married,primary,no,0,yes,no,unknown,2,jun,8,1,-1,0,unknown
8082,3,technician,married,secondary,no,0,yes,no,unknown,2,jun,6,1,-1,0,unknown
8084,4,services,married,secondary,no,0,yes,no,unknown,2,jun,4,1,-1,0,unknown
8139,4,management,single,tertiary,no,-1,yes,no,unknown,2,jun,8,1,-1,0,unknown
8160,4,management,married,tertiary,no,0,yes,no,unknown,2,jun,1,3,-1,0,unknown
8186,3,blue-collar,single,secondary,no,0,yes,no,unknown,2,jun,6,2,-1,0,unknown
8213,5,blue-collar,married,secondary,no,0,yes,no,unknown,2,jun,5,5,-1,0,unknown
8218,5,technician,single,secondary,yes,-1,yes,no,unknown,2,jun,4,5,-1,0,unknown
8267,3,blue-collar,married,primary,no,0,yes,no,unknown,2,jun,6,4,-1,0,unknown
8340,5,unemployed,married,secondary,no,0,yes,no,unknown,2,jun,5,6,-1,0,unknown
8344,2,blue-collar,single,secondary,no,0,yes,no,unknown,2,jun,5,14,-1,0,unknown
8345,5,management,divorced,tertiary,yes,-1,yes,no,unknown,2,jun,3,4,-1,0,unknown
8383,3,technician,single,secondary,no,0,yes,no,unknown,3,jun,9,3,-1,0,unknown
8392,3,unemployed,married,secondary,no,0,yes,yes,unknown,3,jun,8,2,-1,0,unknown
8442,5,self-employed,married,secondary,yes,-1,yes,yes,unknown,3,jun,7,3,-1,0,unknown
8459,5,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,8,7,-1,0,unknown
8489,2,management,single,secondary,no,0,yes,no,unknown,3,jun,6,2,-1,0,unknown
8522,4,services,single,secondary,no,0,yes,no,unknown,3,jun,8,3,-1,0,unknown
8559,1,services,single,secondary,no,0,yes,no,unknown,3,jun,6,1,-1,0,unknown
8564,2,management,married,primary,no,0,yes,no,unknown,3,jun,6,1,-1,0,unknown
8570,2,blue-collar,single,secondary,yes,-1,yes,no,unknown,3,jun,4,2,-1,0,unknown
8572,6,blue-collar,divorced,primary,no,0,yes,no,unknown,3,jun,20,2,-1,0,unknown
8628,6,services,single,primary,no,0,yes,no,unknown,3,jun,10,6,-1,0,unknown
8646,4,admin.,married,secondary,no,-1,yes,no,unknown,3,jun,11,7,-1,0,unknown
8706,3,technician,single,tertiary,no,1,yes,no,unknown,3,jun,11,4,-1,0,unknown
8718,6,management,divorced,secondary,no,0,yes,no,unknown,4,jun,5,1,-1,0,unknown
8731,1,blue-collar,married,secondary,no,-1,yes,yes,unknown,4,jun,10,1,-1,0,unknown
8744,3,admin.,divorced,secondary,no,0,yes,no,unknown,4,jun,4,15,-1,0,unknown
8745,3,blue-collar,single,secondary,no,0,yes,no,unknown,4,jun,9,4,-1,0,unknown
8755,2,services,single,secondary,no,-1,yes,no,unknown,4,jun,4,1,-1,0,unknown
8760,4,blue-collar,married,primary,no,1,yes,no,unknown,4,jun,8,2,-1,0,unknown
8787,1,blue-collar,single,secondary,no,0,yes,no,unknown,4,jun,5,1,-1,0,unknown
8811,2,management,single,tertiary,no,0,yes,no,unknown,4,jun,6,2,-1,0,unknown
8817,2,management,single,tertiary,yes,-1,yes,no,unknown,4,jun,4,2,-1,0,unknown
8821,2,services,single,secondary,no,0,yes,no,unknown,4,jun,4,1,-1,0,unknown
8832,3,self-employed,married,tertiary,no,0,yes,yes,unknown,4,jun,12,6,-1,0,unknown
8834,4,blue-collar,married,primary,no,0,yes,no,unknown,4,jun,7,1,-1,0,unknown
8884,2,blue-collar,married,secondary,no,0,yes,no,unknown,4,jun,9,2,-1,0,unknown
8889,4,admin.,divorced,secondary,no,0,yes,no,unknown,4,jun,7,1,-1,0,unknown
8976,7,unemployed,married,primary,no,0,no,no,unknown,5,jun,4,1,-1,0,unknown
9011,4,blue-collar,married,secondary,no,0,no,no,unknown,5,jun,1,1,-1,0,unknown
9025,8,retired,married,secondary,no,0,no,no,unknown,5,jun,6,1,-1,0,unknown
9040,8,retired,divorced,primary,no,-1,yes,no,unknown,5,jun,7,2,-1,0,unknown
