,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
34415,34415,4,7,3,2,1,-1,1,0,2,5,5,1,4,12,3,1,0
32973,32973,3,11,1,2,0,0,1,0,2,17,4,1,2,8,2,1,0
39866,39866,5,2,3,3,0,1,0,0,2,2,6,4,1,-1,0,0,1
34112,34112,4,10,1,2,0,0,1,0,2,30,4,4,3,-1,0,0,0
1858,1858,5,1,1,2,0,0,1,1,0,9,5,2,2,-1,0,0,0
41812,41812,8,10,1,1,0,0,0,0,2,15,10,3,5,8,5,1,1
10291,10291,7,9,1,2,0,0,1,0,0,12,6,1,1,-1,0,0,0
14440,14440,5,10,1,2,0,0,1,0,2,14,7,4,5,-1,0,0,0
21994,21994,6,3,1,3,0,0,1,0,2,20,8,3,4,-1,0,0,0
13058,13058,4,1,3,2,0,0,0,1,2,8,7,3,1,-1,0,0,0
29165,29165,3,3,1,3,0,0,1,0,2,2,2,4,1,-1,0,0,0
18282,18282,5,1,1,2,0,0,0,1,2,31,7,1,4,-1,0,0,0
8207,8207,6,7,1,1,0,0,1,0,0,2,6,0,5,-1,0,0,0
8277,8277,3,10,3,2,0,0,1,0,0,2,6,1,2,-1,0,0,0
24386,24386,3,1,3,3,0,0,0,0,2,17,11,1,1,-1,0,0,0
18358,18358,6,8,1,2,0,0,1,0,2,31,7,0,2,-1,0,0,0
38613,38613,3,1,2,2,0,0,0,0,2,15,5,2,2,12,1,1,0
20512,20512,3,3,3,3,0,0,0,0,2,12,8,0,2,-1,0,0,0
14688,14688,8,3,1,1,0,0,1,0,2,15,7,1,4,-1,0,0,0
16672,16672,2,3,1,3,0,1,1,0,2,24,7,4,2,-1,0,0,0
7497,7497,7,7,1,1,0,0,1,0,0,29,5,0,2,-1,0,0,0
26489,26489,3,1,3,2,0,2,0,0,2,20,11,0,1,-1,0,0,0
39932,39932,8,10,1,3,0,2,0,0,1,2,6,2,2,-1,0,0,0
44337,44337,2,11,3,0,0,0,0,0,2,29,7,2,8,3,12,3,1
42402,42402,4,11,1,2,0,0,0,0,2,3,12,15,3,6,3,3,0
1777,1777,6,10,3,2,1,-1,1,1,0,9,5,1,2,-1,0,0,0
40644,40644,4,1,2,2,0,0,1,0,2,5,8,1,1,-1,0,0,0
21616,21616,4,10,3,2,0,0,1,1,2,19,8,0,4,-1,0,0,0
14519,14519,8,3,1,3,0,0,0,1,2,15,7,6,3,-1,0,0,1
34443,34443,2,3,3,3,0,0,1,0,2,5,5,2,1,-1,0,0,0
41787,41787,4,10,3,3,0,0,0,0,2,13,10,2,2,-1,0,0,1
26668,26668,7,5,1,2,0,0,1,0,2,20,11,0,9,3,37,3,0
14202,14202,2,1,3,2,0,0,0,0,2,11,7,2,5,-1,0,0,0
18606,18606,2,10,1,3,0,-1,1,1,2,31,7,0,2,-1,0,0,0
37207,37207,5,7,2,1,0,0,1,0,2,13,5,0,5,12,3,3,0
4400,4400,3,3,3,2,0,0,1,0,0,20,5,0,14,-1,0,0,0
15487,15487,4,7,3,2,0,0,1,0,2,18,7,4,7,-1,0,0,0
25550,25550,4,2,3,2,1,-1,0,0,2,19,11,1,1,-1,0,0,0
18983,18983,7,8,1,2,0,0,0,0,2,4,8,5,2,-1,0,0,0
13937,13937,2,10,1,3,0,0,0,1,2,10,7,0,3,-1,0,0,0
22998,22998,7,7,1,1,0,1,1,0,2,26,8,0,20,-1,0,0,0
9623,9623,2,10,3,2,0,0,1,0,0,6,6,0,3,-1,0,0,0
35252,35252,4,1,3,2,0,0,1,1,1,7,5,0,1,5,3,1,0
211,211,7,9,1,2,0,0,1,0,0,5,5,1,2,-1,0,0,0
34877,34877,2,11,1,2,0,0,1,1,2,6,5,2,1,9,15,3,0
15595,15595,6,11,1,0,0,0,0,1,2,21,7,0,20,-1,0,0,0
27399,27399,4,5,3,3,0,0,0,0,2,21,11,0,10,3,4,1,0
26922,26922,4,1,3,2,0,0,1,0,2,21,11,0,1,5,2,1,0
5942,5942,5,1,2,2,0,-1,1,0,0,26,5,3,3,-1,0,0,0
37154,37154,3,7,1,1,0,0,1,1,2,13,5,0,6,-1,0,0,0
3681,3681,4,10,1,3,0,0,1,1,0,16,5,6,1,-1,0,0,1
13980,13980,4,7,1,2,0,0,0,1,1,10,7,0,6,-1,0,0,0
44462,44462,9,7,1,1,0,0,0,0,2,6,8,4,2,3,3,2,1
9239,9239,4,7,1,1,0,2,1,0,0,5,6,2,2,-1,0,0,0
10692,10692,7,8,1,3,0,0,1,1,0,16,6,0,30,-1,0,0,0
36745,36745,4,7,3,2,0,0,0,0,2,12,5,0,1,12,2,3,0
18383,18383,8,5,2,3,0,0,0,0,2,31,7,0,7,-1,0,0,0
23275,23275,3,10,3,3,0,-1,1,0,2,27,8,2,12,-1,0,0,0
19009,19009,5,10,1,2,0,0,0,0,2,5,8,2,1,-1,0,0,0
13267,13267,3,7,2,2,0,-1,1,0,2,8,7,1,2,-1,0,0,0
5975,5975,3,3,1,3,0,0,1,0,0,26,5,0,2,-1,0,0,0
1923,1923,2,1,3,2,0,0,1,0,0,9,5,0,1,-1,0,0,0
8850,8850,4,7,1,1,0,0,1,0,0,4,6,0,1,-1,0,0,0
29821,29821,4,10,1,0,0,0,1,0,2,4,2,0,1,-1,0,0,0
43110,43110,2,8,3,3,0,0,0,0,2,23,2,1,1,3,7,1,1
16621,16621,2,5,2,3,0,0,0,0,2,24,7,0,2,-1,0,0,0
20740,20740,7,1,2,2,0,2,0,0,2,13,8,1,2,-1,0,0,0
6546,6546,4,3,1,3,0,0,1,1,0,27,5,0,3,-1,0,0,0
10703,10703,5,4,1,0,0,0,0,0,0,16,6,0,1,-1,0,0,0
22602,22602,7,11,1,2,0,0,0,0,2,22,8,1,10,-1,0,0,0
28240,28240,6,11,1,1,0,0,1,0,1,29,1,2,2,8,2,1,0
8171,8171,7,10,1,2,0,0,1,0,0,2,6,1,2,-1,0,0,0
11549,11549,8,10,1,2,0,0,0,0,0,19,6,0,1,-1,0,0,0
6895,6895,8,10,1,2,0,0,1,1,0,28,5,0,1,-1,0,0,0
29976,29976,3,5,3,0,0,0,1,0,2,4,2,3,1,-1,0,0,0
34394,34394,1,6,3,2,0,0,0,0,1,4,5,0,3,-1,0,0,0
16678,16678,2,5,1,3,0,0,1,0,2,24,7,0,1,-1,0,0,0
23977,23977,6,7,1,2,0,0,0,0,2,29,8,0,6,-1,0,0,0
24831,24831,4,5,3,3,1,0,1,0,2,18,11,1,1,-1,0,0,0
41899,41899,1,6,3,1,0,0,0,0,2,20,10,2,1,6,3,1,1
37839,37839,2,10,1,3,0,0,1,0,2,14,5,3,4,-1,0,0,0
12667,12667,4,10,3,2,0,-1,0,1,2,4,7,0,6,-1,0,0,0
38989,38989,3,1,3,2,0,0,1,0,2,18,5,2,2,12,1,1,0
3028,3028,2,5,3,3,0,0,1,0,0,14,5,1,4,-1,0,0,0
25612,25612,6,7,3,1,0,0,1,0,2,19,11,1,1,-1,0,0,0
16994,16994,4,11,2,2,0,0,0,0,2,25,7,1,2,-1,0,0,0
24616,24616,4,7,1,1,0,0,1,0,2,17,11,0,2,6,2,1,0
19064,19064,3,3,3,3,0,3,1,0,2,5,8,1,1,-1,0,0,0
41500,41500,0,6,3,2,0,0,0,0,2,8,9,1,1,-1,0,0,0
45122,45122,5,5,3,3,0,0,1,1,0,26,10,0,1,-1,0,0,0
19293,19293,7,10,1,2,0,0,0,0,2,6,8,0,2,-1,0,0,0
14462,14462,4,10,1,2,0,0,1,0,1,14,7,1,4,-1,0,0,0
11315,11315,6,10,2,2,0,0,0,0,0,18,6,0,3,-1,0,0,0
5459,5459,4,7,1,2,0,0,1,0,0,23,5,1,50,-1,0,0,0
17386,17386,4,3,3,3,0,0,1,0,2,28,7,2,5,-1,0,0,0
13291,13291,8,9,1,1,0,0,1,0,1,8,7,0,1,-1,0,0,0
3346,3346,1,10,3,2,0,0,1,0,0,15,5,0,1,-1,0,0,0
26911,26911,6,11,1,2,0,0,0,1,2,21,11,2,2,-1,0,0,0
10142,10142,7,3,1,3,0,0,0,0,0,11,6,0,1,-1,0,0,0
43800,43800,3,1,3,2,0,0,0,0,2,26,5,4,2,-1,0,0,1
2492,2492,5,3,1,3,0,1,1,1,0,13,5,1,1,-1,0,0,0
39724,39724,5,1,1,2,0,0,0,0,2,27,5,1,2,2,1,2,1
19564,19564,5,3,3,3,0,0,0,0,2,7,8,0,2,-1,0,0,0
25341,25341,3,10,3,3,0,-1,0,0,2,18,11,1,2,-1,0,0,0
37341,37341,5,11,2,2,0,0,1,0,2,13,5,2,1,10,1,1,0
16051,16051,2,10,3,2,0,0,1,1,2,22,7,5,1,-1,0,0,0
8442,8442,5,8,1,2,1,-1,1,1,0,3,6,7,3,-1,0,0,1
27446,27446,5,10,1,1,0,0,0,0,2,21,11,0,2,-1,0,0,0
6631,6631,2,10,3,2,0,0,1,0,0,28,5,4,3,-1,0,0,1
35791,35791,2,3,3,3,0,0,1,0,2,8,5,5,3,-1,0,0,1
23087,23087,6,3,3,3,0,0,0,0,2,26,8,2,5,-1,0,0,0
5209,5209,4,3,3,3,0,0,1,0,0,23,5,0,3,-1,0,0,0
7203,7203,5,11,1,2,0,-1,1,0,0,29,5,0,4,-1,0,0,0
13421,13421,8,7,1,2,0,0,0,1,2,9,7,0,1,-1,0,0,0
1282,1282,4,3,1,3,0,0,1,0,0,8,5,1,1,-1,0,0,0
37850,37850,7,9,2,3,0,0,1,0,2,14,5,2,1,-1,0,0,0
35893,35893,2,11,3,2,0,0,1,0,2,8,5,1,2,11,2,1,0
16403,16403,3,8,3,1,0,0,0,0,1,23,7,0,6,-1,0,0,0
32379,32379,4,7,1,2,0,0,1,0,2,16,4,3,2,-1,0,0,0
42900,42900,2,3,3,3,0,0,0,0,2,4,2,1,2,6,1,1,0
42524,42524,3,6,3,0,0,0,0,0,2,18,12,1,2,-1,0,0,0
8988,8988,6,5,2,3,0,0,0,0,0,5,6,1,1,-1,0,0,0
25940,25940,5,3,3,3,0,0,1,0,2,19,11,4,2,-1,0,0,0
4327,4327,6,7,1,2,0,0,1,0,0,19,5,1,2,-1,0,0,0
776,776,5,7,1,2,0,0,1,0,0,7,5,2,3,-1,0,0,0
38380,38380,3,7,3,2,0,0,1,0,2,15,5,1,1,-1,0,0,0
21842,21842,7,4,1,1,0,0,0,0,2,20,8,1,2,-1,0,0,0
21905,21905,3,10,3,2,0,0,0,0,2,20,8,1,2,-1,0,0,0
9993,9993,4,8,3,3,0,0,0,0,0,9,6,9,3,-1,0,0,1
28445,28445,6,3,1,3,0,0,0,0,2,29,1,1,1,-1,0,0,0
20632,20632,6,11,1,2,0,0,0,0,2,12,8,1,4,-1,0,0,0
7343,7343,9,10,2,3,0,0,1,0,0,29,5,0,3,-1,0,0,0
6022,6022,3,2,1,2,0,0,1,0,0,26,5,1,7,-1,0,0,0
8717,8717,2,11,3,2,0,-1,1,1,0,4,6,2,1,-1,0,0,0
25945,25945,5,1,1,2,0,0,0,1,2,19,11,2,2,5,5,1,0
4443,4443,4,7,1,2,0,0,1,0,0,20,5,0,1,-1,0,0,0
32858,32858,3,7,1,2,0,0,1,0,2,17,4,8,2,-1,0,0,0
34177,34177,1,6,3,2,0,0,0,0,2,4,5,0,2,-1,0,0,0
34896,34896,5,1,2,2,0,0,1,0,2,6,5,1,2,-1,0,0,0
13538,13538,4,7,1,2,0,0,1,0,2,9,7,2,1,-1,0,0,0
24645,24645,5,3,1,3,0,0,0,0,2,17,11,0,2,-1,0,0,0
30053,30053,5,7,1,2,0,0,1,0,2,4,2,6,2,-1,0,0,1
39428,39428,3,5,3,3,0,0,0,0,2,22,5,1,3,-1,0,0,0
41466,41466,7,4,1,2,0,0,1,0,2,7,9,0,1,9,1,1,0
18270,18270,6,3,1,2,0,0,0,0,2,31,7,0,8,-1,0,0,0
23839,23839,6,3,1,3,0,0,0,0,2,29,8,0,2,-1,0,0,0
15385,15385,2,3,3,2,0,-1,1,1,2,18,7,1,2,-1,0,0,0
10441,10441,4,3,1,3,0,-1,1,0,0,12,6,0,2,-1,0,0,0
24093,24093,3,3,1,3,0,0,1,0,1,27,10,0,1,-1,0,0,0
29178,29178,4,3,3,3,0,-1,1,0,2,2,2,2,2,6,2,1,0
7570,7570,3,7,1,1,0,-1,1,0,0,30,5,5,5,-1,0,0,0
18815,18815,4,1,1,2,0,0,1,1,2,31,7,0,11,-1,0,0,0
6087,6087,5,3,3,2,0,0,1,0,0,27,5,0,3,-1,0,0,0
20249,20249,6,7,1,0,0,0,0,0,2,11,8,0,13,-1,0,0,0
8451,8451,6,9,1,1,0,0,0,0,0,3,6,2,1,-1,0,0,0
21424,21424,5,10,3,3,0,0,0,0,2,18,8,1,7,-1,0,0,0
7583,7583,5,10,1,2,0,-1,1,1,0,30,5,2,2,-1,0,0,0
33515,33515,4,3,1,3,0,1,1,0,2,20,4,3,2,-1,0,0,0
28749,28749,5,11,1,1,0,0,1,0,2,30,1,0,1,-1,0,0,0
38759,38759,2,7,1,2,0,-1,1,0,2,18,5,4,2,11,4,1,1
4448,4448,3,11,1,2,0,0,1,0,0,20,5,3,1,-1,0,0,0
23706,23706,9,9,1,3,0,0,0,0,2,28,8,0,5,-1,0,0,0
39876,39876,4,10,1,2,0,0,0,0,2,2,6,1,1,9,10,3,0
20866,20866,5,3,2,3,0,0,0,0,2,13,8,1,2,-1,0,0,0
3344,3344,5,7,1,1,0,0,1,0,0,15,5,0,1,-1,0,0,0
2844,2844,5,10,1,2,0,0,1,0,0,14,5,1,3,-1,0,0,0
11858,11858,6,7,1,2,0,0,1,0,0,20,6,0,4,-1,0,0,0
38414,38414,3,7,3,2,0,0,1,1,2,15,5,1,1,-1,0,0,0
965,965,5,1,1,2,0,0,0,0,0,7,5,1,5,-1,0,0,0
2161,2161,2,1,1,2,0,0,1,1,0,12,5,5,3,-1,0,0,0
44245,44245,7,7,1,2,0,0,0,0,1,20,7,8,2,-1,0,0,1
33872,33872,7,2,1,2,0,0,0,0,2,30,4,2,1,-1,0,0,1
19561,19561,8,3,1,3,0,0,0,0,2,7,8,0,2,-1,0,0,0
9218,9218,4,7,1,2,0,0,0,1,0,5,6,10,13,-1,0,0,0
11425,11425,5,7,3,1,0,0,0,1,0,19,6,1,1,-1,0,0,0
11953,11953,4,11,1,2,0,0,0,0,0,20,6,0,9,-1,0,0,0
42360,42360,3,1,3,2,0,0,0,0,2,25,11,1,1,-1,0,0,1
5013,5013,3,11,3,2,0,0,1,0,0,21,5,1,4,-1,0,0,0
23858,23858,4,10,1,2,0,-1,1,0,2,29,8,2,2,-1,0,0,0
22358,22358,4,10,1,2,0,0,0,1,2,22,8,1,6,-1,0,0,0
11890,11890,5,7,1,1,0,0,0,1,0,20,6,0,5,-1,0,0,0
27628,27628,4,10,3,2,0,0,1,0,2,21,11,0,3,6,2,1,0
13565,13565,5,7,1,2,0,0,1,0,2,9,7,1,2,-1,0,0,0
41452,41452,4,10,1,3,0,0,0,0,2,7,9,2,3,3,2,2,1
11364,11364,5,11,1,2,0,1,0,0,0,19,6,4,1,-1,0,0,0
32846,32846,6,10,1,2,0,0,1,0,2,17,4,2,4,-1,0,0,0
13473,13473,5,11,2,3,0,0,1,0,2,9,7,5,1,-1,0,0,1
35880,35880,4,3,3,3,0,0,1,0,2,8,5,0,6,-1,0,0,0
18895,18895,4,3,3,3,0,0,0,0,2,4,8,2,1,-1,0,0,0
14717,14717,7,3,1,3,0,0,1,0,1,15,7,0,4,-1,0,0,0
23365,23365,8,7,1,2,0,0,1,0,2,27,8,0,5,-1,0,0,0
9332,9332,7,3,1,3,0,0,0,0,0,6,6,0,4,-1,0,0,0
40550,40550,6,1,3,2,0,0,1,1,2,8,7,0,1,-1,0,0,0
13357,13357,3,3,1,3,0,0,1,0,2,8,7,9,1,-1,0,0,0
30048,30048,7,7,1,2,0,0,1,1,2,4,2,2,3,-1,0,0,0
25123,25123,3,3,3,3,0,0,1,0,2,18,11,2,1,-1,0,0,0
35181,35181,4,7,2,2,0,0,1,0,2,7,5,6,1,-1,0,0,0
19546,19546,3,10,3,2,0,-1,0,1,2,7,8,0,2,-1,0,0,0
3311,3311,6,10,2,3,0,0,1,0,0,15,5,1,1,-1,0,0,0
20999,20999,7,11,1,2,0,0,0,0,2,14,8,2,2,-1,0,0,0
15975,15975,6,3,1,3,0,0,1,0,2,22,7,2,1,-1,0,0,0
1944,1944,3,11,3,2,1,0,1,0,0,9,5,1,2,-1,0,0,0
24761,24761,5,5,1,3,0,0,1,0,1,18,11,1,1,4,5,1,0
3650,3650,2,7,3,1,0,0,1,0,0,15,5,2,1,-1,0,0,0
36353,36353,4,7,2,2,0,0,1,0,2,11,5,2,2,10,1,3,0
43589,43589,2,10,3,2,0,0,0,0,2,29,4,6,7,-1,0,0,0
44881,44881,4,1,3,2,0,0,0,0,2,24,9,1,2,6,10,3,1
26527,26527,8,1,1,0,0,1,0,0,2,20,11,0,1,-1,0,0,0
12171,12171,4,7,3,1,0,0,0,0,0,20,6,0,7,-1,0,0,0
2472,2472,3,7,1,2,0,-1,1,1,0,13,5,2,5,-1,0,0,0
28383,28383,3,1,3,2,0,0,0,0,2,29,1,0,2,-1,0,0,0
43926,43926,2,3,3,3,0,0,0,0,2,15,6,7,1,7,3,2,1
35069,35069,2,2,1,2,0,0,1,0,2,6,5,2,2,11,2,1,0
8846,8846,4,10,1,3,0,0,1,0,0,4,6,1,1,-1,0,0,0
33452,33452,4,3,3,3,0,0,1,0,2,20,4,6,2,5,3,3,0
6064,6064,3,3,1,3,0,0,1,0,0,26,5,2,4,-1,0,0,0
43431,43431,12,9,2,1,0,0,0,0,2,8,4,2,1,-1,0,0,1
11429,11429,5,10,2,2,0,0,1,0,0,19,6,1,1,-1,0,0,0
27411,27411,7,7,1,2,0,0,1,0,2,21,11,0,2,6,1,3,0
2687,2687,6,3,1,3,0,0,1,0,0,13,5,0,3,-1,0,0,0
7182,7182,7,10,1,2,0,0,1,0,0,29,5,0,2,-1,0,0,0
29689,29689,5,3,2,3,0,-1,1,0,2,3,2,0,4,8,4,1,0
6655,6655,5,3,1,1,0,-1,1,1,0,28,5,1,2,-1,0,0,0
23865,23865,3,10,1,2,0,0,0,0,2,29,8,0,2,-1,0,0,0
40314,40314,8,3,1,3,0,0,0,0,1,16,6,0,1,-1,0,0,0
17205,17205,7,7,1,1,0,0,1,0,2,28,7,1,2,-1,0,0,0
32456,32456,3,1,2,2,0,0,1,1,2,16,4,2,3,-1,0,0,0
26661,26661,5,3,1,3,0,2,0,0,2,20,11,0,2,-1,0,0,0
39675,39675,1,1,3,3,0,0,1,0,2,27,5,1,2,-1,0,0,1
3355,3355,8,7,1,1,0,0,1,0,0,15,5,1,18,-1,0,0,0
24608,24608,7,3,1,3,0,0,0,0,2,17,11,2,2,-1,0,0,0
35450,35450,2,3,3,3,0,0,1,0,2,7,5,1,2,-1,0,0,0
2287,2287,3,10,2,2,0,0,1,0,0,12,5,2,2,-1,0,0,0
20017,20017,3,3,3,3,0,0,0,0,2,8,8,7,1,-1,0,0,1
3420,3420,6,7,1,2,0,0,1,0,0,15,5,1,3,-1,0,0,0
27919,27919,8,9,1,2,0,0,0,0,2,28,1,1,2,-1,0,0,0
32633,32633,7,7,1,2,0,0,1,0,2,17,4,4,1,-1,0,0,0
14055,14055,3,10,1,3,0,0,1,0,2,11,7,1,1,-1,0,0,0
9814,9814,6,11,1,2,0,0,0,0,0,9,6,5,1,-1,0,0,0
2836,2836,7,11,1,2,0,0,1,0,0,14,5,1,1,-1,0,0,0
23318,23318,3,3,3,3,0,0,0,0,2,27,8,0,21,-1,0,0,0
42591,42591,4,7,1,2,0,0,0,0,0,6,1,0,1,-1,0,0,0
21020,21020,3,10,1,3,0,1,1,0,2,14,8,4,4,-1,0,0,1
20967,20967,3,10,1,2,0,0,0,0,2,14,8,0,2,-1,0,0,0
22349,22349,4,8,1,2,0,0,1,1,2,22,8,1,8,-1,0,0,0
18349,18349,8,9,1,2,0,0,0,0,2,31,7,0,2,-1,0,0,0
25589,25589,3,8,3,2,0,-1,0,1,2,19,11,7,1,-1,0,0,1
44685,44685,7,10,1,2,0,0,0,0,2,6,9,0,2,-1,0,0,0
36616,36616,9,9,2,3,0,-1,0,0,2,12,5,2,1,9,4,1,0
21160,21160,7,10,1,3,0,0,0,0,2,14,8,2,2,-1,0,0,0
27108,27108,7,7,1,2,0,1,1,1,2,21,11,0,10,-1,0,0,0
21030,21030,7,7,1,1,0,0,1,0,1,14,8,2,2,-1,0,0,0
16670,16670,4,2,1,2,0,0,0,0,2,24,7,1,2,-1,0,0,0
398,398,3,7,1,2,0,0,0,1,0,6,5,1,1,-1,0,0,0
9569,9569,7,4,1,1,0,0,0,0,0,6,6,0,1,-1,0,0,0
25637,25637,7,9,1,3,0,0,0,1,2,19,11,3,2,3,3,1,0
37483,37483,4,7,1,1,0,0,1,0,2,13,5,1,2,-1,0,0,0
4908,4908,3,10,1,2,0,0,1,0,0,21,5,0,1,-1,0,0,0
29001,29001,7,10,1,2,0,0,1,0,2,2,2,1,1,6,2,1,0
13497,13497,2,6,1,3,0,0,1,0,2,9,7,1,1,-1,0,0,0
25968,25968,8,1,2,2,0,-1,0,1,2,19,11,1,2,3,4,1,0
32557,32557,7,9,2,1,0,-1,1,1,2,17,4,5,1,-1,0,0,1
42025,42025,10,9,1,1,0,1,0,0,2,28,10,1,1,-1,0,0,0
42820,42820,9,3,1,0,0,0,0,0,1,1,2,2,1,-1,0,0,1
20161,20161,4,3,3,3,0,0,0,0,2,11,8,0,2,-1,0,0,0
31176,31176,2,3,3,3,0,0,1,1,2,27,2,0,1,-1,0,0,0
20245,20245,4,3,1,3,0,0,0,0,2,11,8,7,4,-1,0,0,1
26522,26522,6,5,1,1,0,0,0,0,2,20,11,1,1,-1,0,0,0
44140,44140,4,3,1,3,0,0,0,0,2,12,7,2,2,6,7,1,1
31640,31640,6,7,1,2,0,0,1,1,2,6,4,2,1,10,15,1,0
38727,38727,4,1,1,2,0,0,1,0,2,15,5,1,3,-1,0,0,0
43610,43610,3,2,3,2,0,0,0,0,1,4,5,5,1,-1,0,0,1
18490,18490,5,7,1,2,0,0,0,0,2,31,7,9,2,-1,0,0,1
29680,29680,7,7,1,2,0,0,1,0,2,3,2,2,3,-1,0,0,0
10398,10398,6,4,2,1,0,0,0,0,0,12,6,1,1,-1,0,0,0
29924,29924,2,3,3,3,0,0,1,0,2,4,2,2,1,-1,0,0,0
11355,11355,6,0,1,1,0,0,0,0,0,19,6,0,14,-1,0,0,0
39598,39598,5,3,2,3,0,0,0,0,2,26,5,0,1,3,2,1,0
22123,22123,3,10,1,2,0,0,0,0,2,21,8,1,2,-1,0,0,0
29123,29123,2,3,3,3,0,0,0,0,2,2,2,3,1,-1,0,0,0
14657,14657,2,3,1,3,0,0,1,0,1,15,7,0,2,-1,0,0,0
12590,12590,8,3,2,3,0,0,0,0,0,4,7,1,1,-1,0,0,0
7168,7168,5,1,1,2,0,0,1,1,0,29,5,2,1,-1,0,0,0
22614,22614,5,8,1,2,0,0,0,0,2,22,8,1,1,-1,0,0,0
20842,20842,3,3,3,3,0,1,1,0,2,13,8,7,4,-1,0,0,1
35868,35868,5,1,3,2,0,0,1,1,2,8,5,1,1,-1,0,0,0
39524,39524,2,6,3,2,0,0,0,0,2,25,5,2,2,-1,0,0,1
30556,30556,3,7,3,2,0,0,1,0,2,5,2,2,3,7,4,1,0
14331,14331,4,3,1,3,0,0,1,1,2,14,7,0,2,-1,0,0,0
41781,41781,4,3,3,3,0,0,0,0,2,13,10,1,1,6,1,2,1
27736,27736,2,1,3,2,0,0,0,0,1,28,1,0,1,-1,0,0,0
4593,4593,5,11,1,1,0,0,1,0,0,20,5,1,8,-1,0,0,0
7768,7768,3,1,2,3,0,-1,1,0,0,30,5,2,4,-1,0,0,0
9467,9467,6,11,1,2,0,0,0,0,0,6,6,1,1,-1,0,0,0
24661,24661,5,7,2,1,0,-1,0,1,2,17,11,2,2,-1,0,0,0
38570,38570,2,11,3,2,0,0,1,0,2,15,5,0,8,-1,0,0,0
8651,8651,3,10,3,3,0,0,1,1,0,3,6,1,3,-1,0,0,0
5068,5068,1,7,3,2,0,0,1,0,0,21,5,1,2,-1,0,0,0
25162,25162,6,2,1,1,0,0,0,0,2,18,11,3,1,-1,0,0,0
11839,11839,9,0,1,1,0,0,0,0,0,20,6,3,3,-1,0,0,0
6604,6604,3,10,3,2,0,0,1,0,0,28,5,0,6,-1,0,0,0
28268,28268,3,7,1,2,0,-1,1,0,2,29,1,2,2,-1,0,0,0
9706,9706,4,8,1,2,0,0,1,0,0,6,6,0,1,-1,0,0,0
40857,40857,5,8,2,3,0,0,1,0,2,12,8,1,2,3,3,2,1
23997,23997,9,10,3,2,0,0,0,0,1,29,8,0,2,-1,0,0,0
4712,4712,3,7,1,1,0,1,1,0,0,20,5,3,2,-1,0,0,0
13353,13353,6,3,1,3,0,0,0,0,2,8,7,1,1,-1,0,0,0
38509,38509,2,5,3,3,0,0,1,0,2,15,5,3,1,-1,0,0,0
24544,24544,5,11,1,2,0,0,0,0,1,17,11,0,1,-1,0,0,0
35794,35794,6,10,1,1,0,0,0,0,2,8,5,0,1,-1,0,0,0
24405,24405,7,10,1,2,0,0,1,1,0,17,11,1,2,5,1,1,0
24004,24004,4,10,1,2,0,0,1,0,2,29,8,0,4,-1,0,0,0
10327,10327,4,1,1,2,0,0,0,0,0,12,6,0,1,-1,0,0,0
36967,36967,6,5,1,2,0,0,1,0,1,12,5,11,7,11,2,1,0
25132,25132,3,11,3,2,0,0,1,1,2,18,11,1,1,4,1,1,0
